ZIP Code,State,City/Town,Primary Specialty,All Secondary Specialties,Gender,Facility Name,NPI,Provider Last Name,Provider First Name,Provider Middle Name
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,CARDIOVASCULAR DISEASE (CARDIOLOGY),M,LPCH MEDICAL GROUP DIV OF LUCILE,1093843245,HOLLANDER,SETH,A
952103377,CA,STOCKTON,PEDIATRIC MEDICINE,,M,PERMANENTE MEDICAL GROUP INC,1104019348,MEIER,SCOTT,D
900950001,CA,LOS ANGELES,PEDIATRIC MEDICINE,NEUROLOGY,M,UC REGENTS,1104144690,RAJARAMAN,RAJSEKAR,RAM
900276062,CA,LOS ANGELES,PEDIATRIC MEDICINE,,F,CHILDRENS HOSPITAL LOS ANGELES MEDICAL GROUP INC,1104243666,POSCH,LEILA,CAROLINE AURORA
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,GASTROENTEROLOGY,F,LPCH MEDICAL GROUP DIV OF LUCILE,1104873199,KHAVARI,NASHA,NASIM SABERY
951191106,CA,SAN JOSE,PEDIATRIC MEDICINE,,F,PERMANENTE MEDICAL GROUP INC,1114029105,COHEN,JENNIFER,B
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,F,LPCH MEDICAL GROUP DIV OF LUCILE,1114223773,HAN,PEGGY,KIM
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,MEDICAL GENETICS AND GENOMICS,F,LPCH MEDICAL GROUP DIV OF LUCILE,1114294477,GOMEZ OSPINA,NATALIA,
928684203,CA,ORANGE,PEDIATRIC MEDICINE,,F,EMERGENCY MEDICINE SPECIALISTS OF ORANGE COUNTY,1114332392,MIRCHANDANI,DIVYA,
900481804,CA,WEST HOLLYWOOD,PEDIATRIC MEDICINE,,F,CEDARS-SINAI MEDICAL CENTER,1114381803,SIDHU,SONAM,
923542804,CA,LOMA LINDA,PEDIATRIC MEDICINE,,F,,1114544285,BOYER,ROBIN,ANNAMARIE
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,HEMATOLOGY/ONCOLOGY,F,LPCH MEDICAL GROUP DIV OF LUCILE,1114666583,SAAB,RAYA,HAMAD
905034011,CA,TORRANCE,PEDIATRIC MEDICINE,HOSPICE/PALLIATIVE CARE,M,PROVIDENCE TRINITYCARE HOSPICE,1114939394,KOMATSU,GLEN,I
913554488,CA,SANTA CLARITA,PEDIATRIC MEDICINE,,M,PROVIDENCE FACEY MEDICAL FOUNDATION,1114945235,CHOWDHURY,HASAN MURAD,
900481804,CA,WEST HOLLYWOOD,PEDIATRIC MEDICINE,NEPHROLOGY,F,CEDARS-SINAI MEDICAL CENTER,1114955705,PULIYANDA,DECHU,
958171514,CA,SACRAMENTO,PEDIATRIC MEDICINE,HEMATOLOGY/ONCOLOGY,M,REGENTS OF THE UNIV OF CA,1124001417,DUCORE,JONATHAN,M
923356720,CA,FONTANA,PEDIATRIC MEDICINE,ENDOCRINOLOGY,M,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,1124041710,MOGADAS,RAMIN,R
922014827,CA,INDIO,PEDIATRIC MEDICINE,,M,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,1124459532,JACOBY,BRADLEY,A
936116886,CA,CLOVIS,PEDIATRIC MEDICINE,ENDOCRINOLOGY,F,COMMUNITY HEALTH PARTNERS,1134160666,KINMAN,RENEE,A
900073304,CA,LOS ANGELES,PEDIATRIC MEDICINE,,F,COUNTY OF LOS ANGELES,1134221708,MOLODOW,RONA,
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,F,LPCH MEDICAL GROUP DIV OF LUCILE,1134269145,GOOD,JULIE,J
900221605,CA,LOS ANGELES,PEDIATRIC MEDICINE,INTERNAL MEDICINE,M,COUNTY OF LOS ANGELES,1134524184,ABDALLAH,AGUSTIN,M
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,F,LPCH MEDICAL GROUP DIV OF LUCILE,1134567696,MATALON,DENA,RAE
958172207,CA,SACRAMENTO,PEDIATRIC MEDICINE,CRITICAL CARE (INTENSIVISTS),F,REGENTS OF THE UNIV OF CA,1134651797,PHELPS,KATHERINE,A
941430001,CA,SAN FRANCISCO,PEDIATRIC MEDICINE,CARDIAC SURGERY,M,UCSF DEPT OF SURGERY,1144310756,KOURETAS,PETER,CRIST
900953075,CA,LOS ANGELES,PEDIATRIC MEDICINE,,M,UC REGENTS,1144323213,SKLANSKY,MARK,S
928684203,CA,ORANGE,PEDIATRIC MEDICINE,CARDIOVASCULAR DISEASE (CARDIOLOGY),M,CHILDREN'S HOSPITAL OF ORANGE COUNTY,1144328360,CHANG,ANTHONY,C
958165616,CA,SACRAMENTO,PEDIATRIC MEDICINE,,F,SUTTER VALLEY MEDICAL FOUNDATION,1144329715,VU,NGOC HAN,D
947042636,CA,BERKELEY,PEDIATRIC MEDICINE,,F,SUTTER BAY MEDICAL FOUNDATION,1144336355,LANDMAN,PETRA,FROEHLICH
941432202,CA,SAN FRANCISCO,PEDIATRIC MEDICINE,,M,UCSF MEDICAL GROUP BUSINESS SERVICES,1144387408,RAPHAEL,ROBERT,I
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,F,LPCH MEDICAL GROUP DIV OF LUCILE,1144471681,DAMIAN,MIHAELA,K
902422814,CA,DOWNEY,PEDIATRIC MEDICINE,INTERNAL MEDICINE,M,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,1144544669,WONG,LAWRENCE,
923465869,CA,HIGHLAND,PEDIATRIC MEDICINE,,M,FACULTY PHYSICIANS AND SURGEONS OF LLUSM,1144674003,THANASUKARN,JOHN,
937211430,CA,FRESNO,PEDIATRIC MEDICINE,,M,,1154340586,SANG,NEW,
928684203,CA,ORANGE,PEDIATRIC MEDICINE,,M,CHILDREN'S HOSPITAL OF ORANGE COUNTY,1154428027,ABDENUR,JOSE,E
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,F,LPCH MEDICAL GROUP DIV OF LUCILE,1154526762,AFTANDILIAN,CATHERINE,C
961614835,CA,TRUCKEE,PEDIATRIC MEDICINE,,F,TAHOE FOREST HOSPITAL DISTRICT,1154711836,DEJONG,ELLEN,MARIE
923542804,CA,LOMA LINDA,PEDIATRIC MEDICINE,,F,,1154876381,NGUYEN,KRISTINE,KIM
928684203,CA,ORANGE,PEDIATRIC MEDICINE,CRITICAL CARE (INTENSIVISTS),F,CHILDREN'S HOSPITAL OF ORANGE COUNTY,1164516944,IWAI,DINA,M
900481804,CA,WEST HOLLYWOOD,PEDIATRIC MEDICINE,GASTROENTEROLOGY,M,CEDARS-SINAI MEDICAL CENTER,1164522033,ZIRING,DAVID,A
932060917,CA,BUTTONWILLOW,PEDIATRIC MEDICINE,,F,OMNI FAMILY HEALTH,1164606828,HUGHES,KELLY,A
900276062,CA,LOS ANGELES,PEDIATRIC MEDICINE,,M,CHILDRENS HOSPITAL LOS ANGELES MEDICAL GROUP INC,1164765244,GOLDBERG,BRADLEY,SAMUEL
900254837,CA,LOS ANGELES,PEDIATRIC MEDICINE,,F,UC REGENTS,1164775623,SRIVASTAVA,RACHANA,
928684203,CA,ORANGE,PEDIATRIC MEDICINE,HEMATOLOGY,F,CHILDREN'S HOSPITAL OF ORANGE COUNTY,1174626683,PUTHENVEETIL,GEETHA,
956913412,CA,WEST SACRAMENTO,PEDIATRIC MEDICINE,,F,ELICA HEALTH CENTERS,1184155046,CHENG,JESSICA,
941432204,CA,SAN FRANCISCO,PEDIATRIC MEDICINE,,M,UCSF PEDIATRICS ASSOCIATES,1184632101,FRIEDRICHSDORF,STEFAN,J
913264900,CA,PORTER RANCH,PEDIATRIC MEDICINE,,F,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,1184783847,DE LA RIVA,PATRICIA,L
923542804,CA,LOMA LINDA,PEDIATRIC MEDICINE,,M,FACULTY PHYSICIANS AND SURGEONS OF LLUSM,1184917353,JUTZY,GREGORY,
900276062,CA,LOS ANGELES,PEDIATRIC MEDICINE,,F,CHILDRENS HOSPITAL LOS ANGELES MEDICAL GROUP INC,1194010595,MANDAL,PURNIMA,
958172207,CA,SACRAMENTO,PEDIATRIC MEDICINE,HEMATOLOGY/ONCOLOGY,F,REGENTS OF THE UNIV OF CA,1194017210,ALVAREZ,ELYSIA,M
900481804,CA,WEST HOLLYWOOD,PEDIATRIC MEDICINE,,M,CEDARS-SINAI MEDICAL CENTER,1194104521,POHL,CHARLES,E
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,HEMATOLOGY/ONCOLOGY,F,LPCH MEDICAL GROUP DIV OF LUCILE,1194187104,CHAO,KAREN,
936353479,CA,LOS BANOS,PEDIATRIC MEDICINE,,M,KD MEDICAL GROUP INC,1194382523,HAMID,SHAHEER,
928684203,CA,ORANGE,PEDIATRIC MEDICINE,,M,CHILDREN'S HOSPITAL OF ORANGE COUNTY,1194797951,SCHWARZ,ADAM,J
900950001,CA,LOS ANGELES,PEDIATRIC MEDICINE,,F,UC REGENTS,1194832469,NIELSEN,KARIN,A
900950001,CA,LOS ANGELES,PEDIATRIC MEDICINE,,F,UC REGENTS,1194868182,MATSUMOTO,JOYCE,H
928684203,CA,ORANGE,PEDIATRIC MEDICINE,PULMONARY DISEASE,M,CHILDREN'S HOSPITAL OF ORANGE COUNTY,1194985002,KAMATH,SUNIL,P
958172207,CA,SACRAMENTO,PEDIATRIC MEDICINE,CARDIOVASCULAR DISEASE (CARDIOLOGY),M,REGENTS OF THE UNIV OF CA,1205068392,DAYAN,JONATHAN,G
917733200,CA,SAN DIMAS,PEDIATRIC MEDICINE,NEUROLOGY,M,,1205893245,ISMAIL,HABIB,A
958172207,CA,SACRAMENTO,PEDIATRIC MEDICINE,,F,REGENTS OF THE UNIV OF CA,1205943149,MAHAJAN,GAYATRI,
958165126,CA,SACRAMENTO,PEDIATRIC MEDICINE,,F,SUTTER VALLEY MEDICAL FOUNDATION,1215015946,GLASER,LOUISE,F
900950001,CA,LOS ANGELES,PEDIATRIC MEDICINE,,F,UC REGENTS,1215114962,MARCUS,ELIZABETH,
913451413,CA,MISSION HILLS,PEDIATRIC MEDICINE,,F,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,1215121173,FLOWERS,DANIELLE,R
925013315,CA,RIVERSIDE,PEDIATRIC MEDICINE,,M,REGENTS OF THE UNIVERSITY OF CALIFORNIA,1215132790,PONTHENKANDATH,SASIDHARAN,
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,F,LPCH MEDICAL GROUP DIV OF LUCILE,1215167531,PURKEY,NEHA,JOSHI
940254260,CA,MENLO PARK,PEDIATRIC MEDICINE,INTERNAL MEDICINE,F,UNIVERSITY HEALTHCARE ALLIANCE,1215190509,WALFORD,HANNAH,HOPE
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,CRITICAL CARE (INTENSIVISTS),F,LPCH MEDICAL GROUP DIV OF LUCILE,1215196050,STEFFEN,KATHERINE,M
958165616,CA,SACRAMENTO,PEDIATRIC MEDICINE,,F,SUTTER VALLEY MEDICAL FOUNDATION,1215248208,SINGH,KASHMIR,
930213407,CA,MOORPARK,PEDIATRIC MEDICINE,INTERNAL MEDICINE,M,,1215924451,VO,NHAT,C
951122608,CA,SAN JOSE,PEDIATRIC MEDICINE,GENERAL PRACTICE,M,,1215959796,DANG,TRACH,
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,ENDOCRINOLOGY,F,LPCH MEDICAL GROUP DIV OF LUCILE,1225059553,STAFFORD,DIANE,ELIZABETH JACKSON
930335314,CA,OXNARD,PEDIATRIC MEDICINE,,F,COMMUNITY MEMORIAL HEALTH SYSTEM,1225065360,PARKER,KALA,N
904041240,CA,SANTA MONICA,PEDIATRIC MEDICINE,INFECTIOUS DISEASE,F,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,1225220205,YEGANEH,NAVA,
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,F,LPCH MEDICAL GROUP DIV OF LUCILE,1225248875,COULOURES,OLIVERA,MARSENIC
951221880,CA,SAN JOSE,PEDIATRIC MEDICINE,GENERAL PRACTICE,M,,1235150822,TRUONG,HIEN,N
941432202,CA,SAN FRANCISCO,PEDIATRIC MEDICINE,NEPHROLOGY,F,UCSF MEDICAL GROUP BUSINESS SERVICES,1235151218,SARWAL,MINNIE,M
945349771,CA,FAIRFIELD,PEDIATRIC MEDICINE,,M,SUTTER VALLEY MEDICAL FOUNDATION,1235219197,THOMAS,RANDOLPH,C
924111354,CA,SAN BERNARDINO,PEDIATRIC MEDICINE,GENERAL PRACTICE,M,,1235351206,ALFARO-MCFIELD,EDGAR,E
928684203,CA,ORANGE,PEDIATRIC MEDICINE,HOSPITALIST,F,CHILDREN'S HOSPITAL OF ORANGE COUNTY,1235366337,LUSK,JENNIFER,S
958172207,CA,SACRAMENTO,PEDIATRIC MEDICINE,,F,REGENTS OF THE UNIV OF CA,1235367186,PUNDI,KAVITHA,
900950001,CA,LOS ANGELES,PEDIATRIC MEDICINE,GASTROENTEROLOGY,F,UC REGENTS,1235422197,WHANG,EMILY,
900276062,CA,LOS ANGELES,PEDIATRIC MEDICINE,,F,CHILDRENS HOSPITAL LOS ANGELES MEDICAL GROUP INC,1235471061,AMBARAM,RESHMA,
900481804,CA,WEST HOLLYWOOD,PEDIATRIC MEDICINE,,F,CEDARS-SINAI MEDICAL CENTER,1235523473,ALLEN-SHARPLEY,MICHELLE,
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,HEMATOLOGY/ONCOLOGY,F,LPCH MEDICAL GROUP DIV OF LUCILE,1245321595,SHAH,AMI,
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,F,LPCH MEDICAL GROUP DIV OF LUCILE,1245539964,PROFITA,ELIZABETH,LOUDON
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,F,LPCH MEDICAL GROUP DIV OF LUCILE,1245625060,MORIARTY,JESSICA,ANN
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,M,LPCH MEDICAL GROUP DIV OF LUCILE,1255466983,LEWIS,DAVID,BRAM
900950001,CA,LOS ANGELES,PEDIATRIC MEDICINE,HEMATOLOGY/ONCOLOGY,F,UC REGENTS,1255595229,CHANG,VIVIAN,Y
941432204,CA,SAN FRANCISCO,PEDIATRIC MEDICINE,,F,UCSF PEDIATRICS ASSOCIATES,1255794814,BONSMITH,KATHLEEN,DORA
941432204,CA,SAN FRANCISCO,PEDIATRIC MEDICINE,,M,UCSF PEDIATRICS ASSOCIATES,1255863403,NATBONY,JOSHUA,
958165616,CA,SACRAMENTO,PEDIATRIC MEDICINE,,F,SUTTER VALLEY MEDICAL FOUNDATION,1265531800,UNIS,CLAIRE,MARIE
941430810,CA,SAN FRANCISCO,PEDIATRIC MEDICINE,EMERGENCY MEDICINE,F,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,1265606776,HOEHLER,AMANDA,ELIZABETH
900950001,CA,LOS ANGELES,PEDIATRIC MEDICINE,CARDIOVASCULAR DISEASE (CARDIOLOGY),M,UC REGENTS,1265676274,MOORE,JEREMY,P
941432204,CA,SAN FRANCISCO,PEDIATRIC MEDICINE,,F,UCSF PEDIATRICS ASSOCIATES,1265782817,NEEMUCHWALA,FATIMA,HAKIMUDDIN
956613866,CA,ROSEVILLE,PEDIATRIC MEDICINE,,F,SUTTER VALLEY MEDICAL FOUNDATION,1265797153,LABARO,ANNA MARIE,
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,F,LPCH MEDICAL GROUP DIV OF LUCILE,1265973424,KUSHNER,LAUREN,ELIZABETH
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,ALLERGY/IMMUNOLOGY,M,LPCH MEDICAL GROUP DIV OF LUCILE,1275064388,SALGADO,CARLOS,ANDRES
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,F,,1275112492,SEFFENS,ANGELINA,MARIE
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,M,LPCH MEDICAL GROUP DIV OF LUCILE,1275516361,BHARGAVA,SUMIT,
928684203,CA,ORANGE,PEDIATRIC MEDICINE,INFECTIOUS DISEASE,F,CHILDREN'S HOSPITAL OF ORANGE COUNTY,1275630154,ASHOURI,NEGAR,
941096919,CA,SAN FRANCISCO,PEDIATRIC MEDICINE,EMERGENCY MEDICINE,F,SAN FRANCISCO EMERGENCY MEDICAL ASSOCIATES,1275890162,BELLMAN,LILLY,A
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,RHEUMATOLOGY,F,LPCH MEDICAL GROUP DIV OF LUCILE,1275920092,TSIN,CATHY,MEI
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,NEPHROLOGY,F,LPCH MEDICAL GROUP DIV OF LUCILE,1275927691,PATEL,RUBY,VISHNU
937211324,CA,FRESNO,PEDIATRIC MEDICINE,HOSPITALIST,M,UNIVERSITY FACULTY ASSOCIATES INC,1285165704,KUMAR,VINAY,
941432202,CA,SAN FRANCISCO,PEDIATRIC MEDICINE,ENDOCRINOLOGY,M,UCSF MEDICAL GROUP BUSINESS SERVICES,1285641449,LONG,ROGER,K
941153465,CA,SAN FRANCISCO,PEDIATRIC MEDICINE,,M,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,1285696203,WALLERSTEIN,ROBERT,J
900276062,CA,LOS ANGELES,PEDIATRIC MEDICINE,,M,CHILDRENS HOSPITAL LOS ANGELES MEDICAL GROUP INC,1285715086,HAMMOUDEH,JEFFREY,A
945965120,CA,WALNUT CREEK,PEDIATRIC MEDICINE,INTERNAL MEDICINE,M,PERMANENTE MEDICAL GROUP INC,1285818534,RANGARAJAN,SURESH,B
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,CARDIOVASCULAR DISEASE (CARDIOLOGY),M,LPCH MEDICAL GROUP DIV OF LUCILE,1285851436,PUNN,RAJESH,
926041723,CA,IRVINE,PEDIATRIC MEDICINE,,F,MEMORIALCARE MEDICAL FOUNDATION,1285912311,EDWARDS,EMILY,R
933011407,CA,BAKERSFIELD,PEDIATRIC MEDICINE,,M,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,1285925636,OOMERJEE,EBRAHIM,
920245142,CA,ENCINITAS,PEDIATRIC MEDICINE,,F,"NORTH COUNTY INPATIENT MEDICAL ALLIANCE, A MEDICAL GROUP, INC",1295025187,VLADESCU,ILINCA,
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,F,LPCH MEDICAL GROUP DIV OF LUCILE,1295051290,KAPLINSKI,MICHELLE,ANNE
943041601,CA,PALO ALTO,PEDIATRIC MEDICINE,,M,LPCH MEDICAL GROUP DIV OF LUCILE,1295059996,HAILESELASSIE,BEREKETEAB,
923465869,CA,HIGHLAND,PEDIATRIC MEDICINE,INTERNAL MEDICINE,F,FACULTY PHYSICIANS AND SURGEONS OF LLUSM,1295179620,RAY,LORRAINE,REVERSON
923542804,CA,LOMA LINDA,PEDIATRIC MEDICINE,,F,,1295313849,CHOI,DA-EUN,
